student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score
S102,21,B.Sc,6,6.86,71.7,68.3,5,4.4,4,6,5,5,7.42630996013948,80.6
S103,18,B.Tech,1,6.9,73.4,82.1,7,3.7,2,1,10,7,6.5828914005729375,75.8
S104,20,B.Tech,5,4.06,59.1,67.5,6,6.5,4,3,6,4,2.753646248952321,47.1
S105,26,MBA,8,7.2,87.0,77.9,6,5.8,3,4,5,6,6.778389568000374,84.7
S106,24,MBA,4,9.17,95.9,97.2,4,7.6,7,7,4,9,7.87906827820544,90.7
S107,19,B.Sc,2,8.77,98.9,96.7,3,6.6,9,8,3,9,9.519864014759284,92.3
S108,21,BCA,6,7.1,71.3,61.4,7,4.6,4,8,1,7,5.412095383110065,78.7
S109,20,BCA,4,3.49,47.9,48.8,9,5.1,1,1,8,2,3.308646434741829,36.2
S110,20,B.Tech,5,7.88,73.2,64.9,4,4.7,6,1,10,8,6.810208013809751,63.2
S111,19,B.Tech,3,7.21,83.7,76.2,7,4.1,4,5,5,6,7.381376606044512,76.9
S112,19,B.Tech,2,5.79,65.9,73.2,7,4.9,5,5,3,3,3.887066532100185,68.1
S113,22,B.Tech,8,5.85,69.5,67.6,7,6.5,2,2,7,2,6.794183104853156,69.3
S114,25,MBA,7,0.02,3.6,4.0,8,5.7,1,2,7,3,1.0,0.0
S115,22,MBA,1,8.04,80.1,87.7,5,6.0,6,9,2,6,7.1559275367902275,70.3
S116,19,BCA,2,5.46,69.0,76.4,8,5.8,2,3,5,5,4.220170279848667,76.0
S117,25,MBA,6,8.81,91.2,88.2,5,6.2,5,10,1,9,9.651668344074622,85.5
S118,19,B.Sc,3,8.71,88.0,89.3,6,7.5,5,7,6,3,6.0,72.9
S119,21,B.Sc,6,6.5,74.1,76.0,5,7.1,3,5,3,8,6.713299583852302,78.2
S120,21,B.Sc,6,7.89,89.5,82.2,6,5.6,6,4,6,6,7.218590806061288,92.8
S121,18,BCA,1,6.2,51.4,58.4,8,3.8,3,9,1,2,5.006873825908422,59.9
S122,21,BCA,6,8.52,91.7,85.1,5,4.9,3,9,1,9,7.939573849334676,100.0
S123,22,B.Sc,8,8.22,72.1,81.4,6,5.1,6,10,1,7,6.339475786569255,61.8
S124,20,B.Sc,4,7.02,89.7,90.5,7,3.8,1,5,7,5,7.341597654522602,96.6
S125,20,BCA,5,7.91,83.8,77.2,6,4.3,5,1,10,8,7.7586978456521845,91.3
S126,19,B.Tech,3,6.57,84.5,90.9,4,6.0,4,4,4,8,5.945397268628972,74.4
S127,20,B.Tech,4,9.88,88.6,75.4,6,7.2,6,5,3,3,6.0,74.7
S128,24,MBA,5,9.49,99.7,97.0,5,4.5,7,10,1,8,8.422624402326065,99.2
S129,19,B.Sc,3,9.48,95.3,100.0,4,6.5,4,7,5,9,8.883927501033337,85.6
S130,22,BCA,8,5.52,61.7,65.4,7,6.3,3,5,5,4,4.78492724765194,71.4
S131,19,B.Tech,2,5.65,63.9,63.2,6,7.3,2,10,1,3,3.8720940523398255,61.8
S132,19,BCA,2,3.64,31.1,34.7,8,7.1,4,2,10,3,3.825151706295151,31.0
S133,25,MBA,6,6.98,73.3,82.1,7,6.6,5,1,7,7,7.25722777071284,75.8
S134,20,BCA,5,9.08,99.3,100.0,5,4.9,3,8,1,9,9.494344349204663,96.3
S135,19,B.Sc,2,9.49,79.3,75.7,9,3.3,3,4,3,5,8.0,72.8
S136,18,B.Tech,1,9.93,94.4,84.7,4,5.3,6,7,1,9,9.183163058738995,98.3
S137,25,MBA,6,7.54,71.2,72.1,4,5.6,6,4,8,8,7.06062853381889,61.1
S138,20,B.Tech,5,5.47,83.0,97.5,7,8.0,6,5,6,5,5.0,82.1
S139,20,B.Tech,4,9.96,99.9,91.6,5,6.6,3,8,1,9,10.0,100.0
S140,20,B.Tech,5,6.54,88.6,85.0,6,5.8,2,6,6,7,6.983136813400584,78.7
S141,26,MBA,8,6.56,85.1,75.5,5,5.0,7,2,9,6,6.190228979605714,94.4
S142,25,MBA,6,9.29,96.1,100.0,3,5.4,9,8,3,9,8.825098065422111,92.0
S143,22,BCA,8,9.7,90.4,97.2,3,4.6,7,10,1,9,8.298577215077035,83.9
S144,25,MBA,6,8.72,91.7,100.0,5,6.3,6,10,1,10,8.387507042477658,79.7
S145,24,MBA,5,7.23,87.8,89.8,7,3.8,5,1,10,6,8.201437435662154,79.8
S146,18,B.Tech,1,8.49,72.8,75.0,5,5.6,6,9,2,7,6.647344823454364,70.6
S147,22,B.Sc,8,8.22,83.4,83.4,4,5.4,8,7,1,5,6.431646879605798,73.7
S148,20,B.Sc,5,1.25,27.1,28.9,9,3.5,2,2,8,3,1.0,28.0
S149,25,MBA,7,8.24,89.9,81.1,6,6.6,5,7,1,8,8.715644117803425,82.4
S150,20,BCA,5,5.99,63.4,72.7,8,4.2,4,6,4,4,5.169028995483535,63.3
S151,19,BCA,3,4.69,73.7,83.6,8,4.4,4,1,9,5,5.192749284197037,64.4
S152,24,MBA,5,7.2,83.3,84.5,4,7.5,5,4,7,6,7.836722912035965,89.9
S153,19,B.Sc,3,5.81,50.4,53.2,6,5.6,2,2,6,2,5.284953940599603,57.5
S154,19,B.Sc,3,6.31,64.5,72.2,6,4.8,2,5,3,5,4.48125487081616,58.4
S155,19,BCA,2,9.31,93.7,87.0,5,7.0,6,10,1,9,7.830128588987867,82.0
S156,20,B.Tech,4,6.75,84.3,86.3,5,6.4,6,1,7,8,4.796441745736426,80.0
S157,22,B.Sc,8,5.73,82.3,88.5,7,6.5,5,5,6,8,5.0,99.5
S158,24,MBA,5,8.69,92.5,90.7,5,5.9,7,10,2,10,8.89684716872773,78.5
S159,21,B.Sc,7,6.85,83.4,80.9,4,5.6,4,1,8,6,6.235749359261627,84.3
S160,20,B.Tech,5,5.67,57.0,52.6,9,5.8,2,10,1,3,4.799535266908643,65.2
S161,25,MBA,6,7.18,86.8,87.1,7,5.1,4,7,1,8,5.247222413394329,96.6
S162,22,BCA,8,4.18,51.3,46.5,6,6.3,6,3,9,5,5.018873462590558,40.2
S163,23,MBA,3,9.45,93.6,85.5,4,5.6,5,9,2,10,8.519568042583154,100.0
S164,20,B.Sc,4,6.48,54.1,49.1,7,6.0,5,2,9,5,5.311347033015773,55.5
S165,24,MBA,5,8.07,89.6,78.5,8,4.3,3,2,3,5,8.0,85.0
S166,20,BCA,4,6.78,74.8,79.7,7,4.6,5,10,1,6,5.480396128553936,79.6
S167,20,B.Tech,4,6.64,84.4,81.6,5,4.5,6,5,4,6,6.489800755659698,86.0
S168,19,B.Sc,3,9.74,73.0,79.6,7,7.1,5,8,7,3,6.0,80.6
S169,19,BCA,2,4.95,58.3,60.2,8,6.0,1,5,5,5,3.9659076777165474,54.6
S170,21,BCA,6,4.73,72.6,65.0,6,3.9,3,4,6,2,4.990648564964227,67.4
S171,18,B.Tech,1,9.98,97.3,91.9,5,4.8,5,7,2,8,9.963093390121417,100.0
S172,22,B.Tech,8,5.83,53.1,49.1,7,5.5,5,10,1,3,3.865128080884071,60.5
S173,18,B.Sc,1,9.3,96.3,100.0,4,6.9,7,9,1,10,8.95980214398494,87.5
S174,21,B.Tech,6,8.51,96.5,100.0,3,6.6,6,9,3,9,7.256573276311025,87.4
S175,20,B.Tech,5,6.56,74.7,72.8,5,4.9,7,4,4,5,5.864304973720143,81.3
S176,22,B.Tech,8,1.49,29.9,37.0,10,3.6,2,4,7,3,1.5201636976304669,24.8
S177,25,MBA,7,6.04,65.5,70.4,8,4.9,2,9,2,2,5.884604951753829,53.6
S178,21,B.Sc,6,9.34,73.5,80.2,5,6.2,7,5,7,2,7.0,68.2
S179,22,B.Tech,8,5.92,52.5,58.0,7,4.0,5,9,1,4,5.377860346183864,53.6
S180,19,BCA,2,4.97,73.9,80.1,6,5.3,2,4,8,5,3.008021646790194,81.7
S181,24,MBA,4,8.48,78.9,85.6,4,7.1,4,8,1,6,6.937274425844035,82.3
S182,18,B.Tech,1,8.21,76.4,86.3,6,3.8,2,9,1,5,6.815681485731838,79.7
S183,22,B.Tech,8,2.52,0.6,0.0,10,4.8,1,4,8,2,1.3643918232366459,0.0
S184,19,BCA,2,9.2,93.8,91.1,2,7.8,7,8,1,8,7.23850664111949,90.8
S185,19,B.Sc,2,5.6,54.8,63.3,6,7.8,3,7,4,3,6.335520382631562,39.9
S186,19,B.Sc,2,8.0,84.5,84.4,7,7.5,3,1,8,8,8.145417617838868,74.0
S187,20,B.Tech,5,8.19,75.3,76.9,8,4.6,4,4,7,9,6.0,75.3
S188,19,BCA,3,6.28,73.8,77.4,6,6.5,3,10,1,2,4.375222681781686,59.6
S189,21,B.Sc,7,4.6,50.9,46.3,8,3.8,1,2,10,3,3.1982057857799235,44.0
S190,22,B.Tech,8,8.93,96.2,99.6,2,8.5,10,8,3,9,8.287550167896487,81.8
S191,19,B.Sc,2,7.09,80.9,84.3,7,6.4,1,3,5,6,5.412583341339163,66.1
S192,20,B.Sc,5,6.5,88.5,81.3,7,4.9,5,7,2,5,6.227174951292243,81.2
S193,21,B.Tech,6,6.34,54.9,52.5,9,6.0,1,1,8,3,7.15605472105951,58.7
S194,19,B.Tech,2,6.76,86.6,80.9,4,6.4,7,4,6,7,7.414902721356606,74.2
S195,22,MBA,1,9.99,97.1,92.2,2,7.4,8,7,3,9,10.0,92.4
S196,25,MBA,7,9.58,95.9,100.0,5,4.0,3,9,1,8,8.09859790968899,91.4
S197,22,MBA,1,5.15,58.0,58.1,8,5.7,2,1,10,5,5.1811094021533135,57.4
S198,19,BCA,3,9.27,92.9,100.0,2,6.3,10,8,1,10,9.585891855355829,78.8
S199,21,B.Tech,6,4.81,71.0,74.6,9,3.6,3,1,8,2,5.740574491023883,60.0
S200,20,B.Sc,4,3.53,42.6,45.6,8,5.8,2,3,7,2,3.3955846521150663,52.1
S201,22,MBA,1,5.95,53.6,45.9,8,4.8,1,8,3,3,6.634581221538487,39.0
S202,20,BCA,5,7.8,73.7,67.2,6,6.2,2,4,7,7,6.181201784946964,74.6
S203,19,B.Tech,3,7.07,77.9,81.6,5,6.2,3,1,10,7,6.717248035429895,87.5
S204,20,BCA,5,6.53,76.4,82.1,6,7.6,4,6,6,8,5.635845811858983,83.7
S205,19,B.Sc,3,8.97,91.2,84.0,4,5.8,6,9,1,9,8.44727654211234,86.5
S206,21,B.Sc,6,7.26,81.5,76.0,4,5.2,6,6,6,5,7.311183952279293,67.8
S207,26,MBA,8,1.63,34.0,26.7,9,6.7,2,5,6,2,2.2634166914293843,29.9
S208,18,BCA,1,7.34,73.1,69.1,6,6.5,2,8,1,8,5.360752937126885,58.6
S209,21,B.Tech,7,4.33,65.1,57.1,7,4.6,2,2,8,2,4.966126770292433,51.1
S210,22,B.Tech,8,5.74,51.9,46.1,8,3.8,4,7,3,2,4.223525727427368,40.2
S211,20,B.Tech,4,6.77,81.2,90.6,4,4.2,6,8,3,6,5.055998971092102,78.7
S212,20,B.Sc,4,8.27,75.2,80.3,10,3.4,2,4,3,6,6.0,76.9
S213,20,B.Sc,4,7.07,84.5,88.2,5,7.5,6,5,3,7,6.932476312392271,85.0
S214,18,B.Tech,1,9.62,92.4,86.1,4,7.0,4,8,4,8,9.169934389396216,93.5
S215,23,MBA,3,8.46,88.8,94.7,7,5.6,1,8,1,8,9.20906238180422,81.1
S216,20,B.Tech,4,9.97,90.8,87.5,3,7.6,7,9,1,10,9.69243901553942,86.2
S217,21,B.Sc,7,5.88,68.1,58.8,9,6.4,1,5,5,5,4.761661664763944,63.5
S218,20,B.Sc,5,7.1,83.4,85.4,5,7.5,7,6,4,5,6.374421917250057,71.5
S219,25,MBA,7,7.21,81.9,85.6,6,5.6,2,10,1,5,7.262954756813707,83.6
S220,18,B.Tech,1,7.09,71.4,72.8,6,4.0,3,1,10,6,5.964175443874394,75.0
S221,20,BCA,4,8.54,98.1,94.0,2,5.1,8,7,3,8,8.380149876490346,88.8
S222,24,MBA,4,7.72,77.5,71.7,5,7.2,6,7,1,6,7.678562765293565,75.2
S223,19,B.Sc,2,8.17,83.5,90.4,4,7.7,7,8,1,5,8.193130824719368,72.3
S224,22,BCA,8,5.68,67.6,71.2,8,4.9,2,9,3,4,3.9772820286017776,62.8
S225,19,B.Tech,2,6.94,76.7,68.5,7,6.3,1,1,10,7,5.553774846911531,86.2
S226,21,B.Sc,6,5.13,68.9,69.4,6,5.4,2,4,7,5,4.403000787039297,56.1
S227,23,MBA,3,8.8,96.2,90.0,4,7.4,8,7,3,8,7.387837589532711,100.0
S228,21,B.Tech,6,9.85,97.5,93.2,4,6.8,4,9,3,8,10.0,96.2
S229,21,B.Sc,6,7.43,70.1,63.7,7,6.2,5,1,8,7,5.4822738872385175,55.2
S230,20,BCA,5,6.67,74.3,68.8,7,6.0,4,7,1,6,6.625893089896121,81.2
S231,19,B.Sc,3,7.94,74.7,86.8,9,4.1,4,4,5,5,8.0,75.6
S232,20,B.Tech,5,7.99,78.4,77.5,4,7.1,4,2,6,5,7.110997812551932,66.8
S233,20,B.Tech,4,9.73,98.6,100.0,3,7.2,7,10,1,8,8.81779385408493,96.1
S234,18,B.Tech,1,8.05,76.4,74.6,5,7.6,5,9,2,6,8.777256483219151,72.7
S235,21,BCA,7,6.58,84.1,91.3,6,3.9,2,4,8,7,5.221667358674973,74.1
S236,24,MBA,4,2.89,12.1,14.2,9,6.0,1,3,9,2,1.1982240202973813,8.9
S237,18,BCA,1,6.09,52.6,50.8,6,7.6,4,6,6,2,5.088260340378538,60.0
S238,22,B.Tech,8,1.0,23.9,28.0,10,3.2,1,4,5,1,1.2352358463421556,9.3
S239,26,MBA,8,9.66,71.1,85.8,7,6.8,6,5,5,2,7.0,80.3
S240,19,BCA,3,7.9,77.7,81.4,4,5.9,4,3,9,8,8.828773289041274,70.5
S241,24,MBA,4,7.67,79.4,83.4,7,4.8,3,2,10,7,7.56302381181487,81.3
S242,20,B.Tech,5,9.7,79.6,82.9,5,6.8,7,7,6,3,6.0,72.9
S243,20,BCA,4,5.15,63.1,65.1,9,5.0,3,8,2,5,5.609676126702701,49.2
S244,19,B.Tech,2,6.12,67.8,61.2,8,6.3,4,6,6,4,4.756583942444661,75.7
S245,21,B.Tech,7,1.89,25.6,17.8,10,3.1,1,4,5,1,2.5287356575071582,18.8
S246,21,B.Tech,6,8.75,94.0,85.3,4,4.2,7,10,1,10,6.897153756520112,85.5
S247,26,MBA,8,7.53,89.4,91.6,6,4.9,4,2,10,5,7.367924104694223,89.0
S248,23,MBA,2,5.78,96.5,90.6,7,6.6,6,7,6,5,8.0,88.9
S249,19,B.Tech,2,7.91,89.9,80.9,6,5.2,4,4,4,7,8.2935987545412,90.8
S250,20,B.Tech,4,1.17,40.1,43.7,9,6.7,1,2,7,3,1.0,46.0
S251,20,B.Tech,5,4.13,62.1,56.8,9,3.8,3,1,10,2,4.978049166558044,64.0
S252,19,B.Tech,3,8.5,97.9,88.3,5,6.1,3,8,1,9,7.056266053134858,90.8
S253,18,BCA,1,5.14,74.7,84.5,9,7.0,1,8,1,5,4.015059093451059,67.5
S254,19,BCA,3,8.77,94.9,96.8,5,7.5,5,10,1,9,8.498463575242411,83.7
S255,22,MBA,1,6.77,86.3,90.6,4,5.6,6,5,6,5,6.852769881396506,88.5
S256,18,B.Sc,1,8.54,93.1,100.0,2,6.4,8,8,2,9,7.30982757406462,100.0
S257,25,MBA,6,3.66,40.2,31.0,10,6.8,1,3,8,1,2.3577792981347705,45.1
S258,20,B.Tech,4,5.57,80.1,87.4,6,6.9,8,7,7,5,6.0,94.6
S259,18,B.Sc,1,8.35,81.1,90.2,4,6.7,8,10,1,5,8.97886399087056,88.8
S260,19,B.Tech,2,8.55,99.5,100.0,2,6.8,7,9,3,10,8.04917961457974,90.9
S261,24,MBA,5,9.24,92.6,98.2,2,6.7,6,8,3,9,9.228717664941385,85.9
S262,26,MBA,8,6.7,78.6,73.8,6,7.7,2,7,2,8,6.670402982686339,75.4
S263,21,B.Sc,7,6.08,58.9,65.0,6,4.7,6,10,1,2,6.156513825144794,67.4
S264,20,BCA,4,9.06,95.2,100.0,2,7.5,9,9,1,8,9.509721475998477,86.4
S265,20,B.Tech,4,9.49,77.2,83.4,5,7.9,5,8,5,1,8.0,85.2
S266,18,B.Tech,1,9.98,91.6,99.9,3,7.5,6,7,5,9,9.774960274315955,88.5
S267,24,MBA,4,3.79,32.2,39.9,8,3.8,4,2,6,1,2.055931689799729,22.3
S268,22,B.Sc,8,1.38,32.9,41.5,10,4.4,1,2,9,2,1.0,34.8
S269,25,MBA,7,6.53,85.1,81.3,5,7.7,4,6,6,7,6.4085796891752835,93.4
S270,21,BCA,6,8.15,77.6,77.0,5,7.7,4,9,3,5,8.469447255884385,87.5
S271,20,B.Sc,4,5.97,71.7,62.8,9,6.2,1,7,1,3,6.713575487269108,61.9
S272,24,MBA,5,8.87,90.2,86.9,2,7.4,9,9,1,10,8.648777954221686,99.1
S273,20,BCA,5,4.45,88.7,90.6,7,6.3,6,6,7,6,6.0,80.4
S274,23,MBA,3,5.81,92.2,96.5,5,6.5,5,8,5,8,6.0,95.4
S275,19,BCA,3,8.75,95.6,88.8,5,4.1,3,10,1,10,8.724098952114892,90.9
S276,25,MBA,7,8.5,72.8,83.9,8,3.3,4,4,6,9,5.0,62.1
S277,24,MBA,5,4.17,51.7,48.8,7,4.9,2,4,8,2,2.214831792295616,56.1
S278,25,MBA,7,7.85,72.2,74.8,6,7.7,6,2,7,5,7.189589222460836,70.6
S279,24,MBA,4,5.87,52.5,53.7,7,6.3,5,5,6,4,6.343032286768478,44.1
