student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,Risk_Category
S018,20,BCA,4,7.37,88.4,84.4,4,6.1,7,8,5,7,6,82.6,78.8,68.9,71.5,65.0,71.4,Blue
S019,21,B.Tech,6,8.27,89.3,89.8,5,7.5,6,6,3,8,6,62.9,85.4,67.1,63.6,70.0,72.6,Blue
S020,25,MBA,6,6.9,73.6,66.3,8,6.7,4,3,5,3,3,55.6,69.4,47.1,41.1,30.0,48.3,Yellow
S021,24,MBA,4,4.6,35.0,39.6,10,3.2,2,2,8,3,3,24.6,42.5,20.0,20.9,30.0,29.4,Red
S022,25,MBA,6,4.91,19.5,21.8,7,4.0,3,1,10,2,1,26.3,37.7,36.0,10.3,15.0,26.1,Red
S023,21,B.Sc,6,5.49,66.3,57.5,9,5.9,5,3,6,4,5,48.8,57.7,45.1,36.8,45.0,47.2,Yellow
S024,25,MBA,7,3.55,54.0,11.2,8,4.4,1,3,8,2,3,1.7,34.3,26.5,21.3,25.0,27.4,Red
S025,24,MBA,5,5.22,66.6,59.4,7,6.3,6,4,7,5,3,52.9,56.5,56.6,39.6,40.0,49.0,Yellow
S026,19,B.Tech,2,3.18,38.3,3.2,8,4.7,2,3,10,2,2,12.7,27.4,31.6,17.5,20.0,24.6,Red
S027,22,B.Sc,8,9.09,91.6,94.0,4,7.7,10,10,3,8,10,86.6,91.7,86.9,88.3,90.0,89.4,Green
S028,20,B.Sc,5,4.16,11.6,28.7,10,3.5,2,2,8,1,3,15.5,33.0,21.1,19.1,20.0,24.0,Red
S029,20,BCA,5,7.28,80.5,70.8,5,7.1,6,6,4,6,7,73.9,73.9,65.6,62.8,65.0,67.4,Blue
S030,21,BCA,7,5.02,66.4,56.6,8,6.1,6,3,5,5,5,41.4,54.7,52.9,38.3,50.0,49.8,Yellow
S031,18,BCA,1,8.41,81.3,81.7,5,6.8,6,7,5,7,7,75.9,83.1,64.5,65.2,70.0,71.6,Blue
S032,19,BCA,2,9.5,94.6,98.8,2,8.3,9,10,2,10,10,95.4,95.7,90.0,93.1,100.0,94.8,Green
S033,19,B.Tech,3,5.13,71.2,60.8,8,5.4,4,3,5,3,5,60.0,57.2,42.2,42.0,40.0,46.1,Yellow
S034,25,MBA,6,9.22,96.7,96.9,4,7.8,10,9,3,10,8,88.3,94.0,87.2,83.7,90.0,89.2,Green
S035,20,BCA,4,4.62,41.1,31.2,8,4.2,3,2,9,1,1,5.9,42.2,33.8,14.2,10.0,26.4,Red
S036,22,B.Sc,8,3.74,33.6,23.2,9,4.6,4,1,8,1,2,3.3,33.8,36.2,11.7,15.0,25.3,Red
S037,23,MBA,2,3.67,57.2,39.7,7,4.1,2,1,10,3,1,24.6,41.4,32.4,9.9,20.0,27.5,Red
S038,20,BCA,4,7.77,76.4,79.2,5,7.7,6,6,3,7,6,69.6,77.7,67.9,64.9,65.0,69.5,Blue
S039,20,BCA,5,5.62,67.8,50.6,7,5.4,4,4,5,4,4,60.0,57.4,45.2,47.0,40.0,47.9,Yellow
S040,21,B.Tech,7,6.15,63.5,64.2,8,5.2,5,4,5,4,4,44.7,62.4,45.5,43.9,40.0,48.9,Yellow
S041,25,MBA,7,6.87,67.4,59.8,6,6.3,5,5,5,6,5,54.4,66.7,55.6,50.9,55.0,57.8,Yellow
S042,19,B.Sc,3,7.02,84.9,73.4,4,7.1,7,8,3,8,7,61.6,73.8,72.6,73.3,75.0,73.7,Blue
S043,20,BCA,5,6.36,71.8,54.2,9,6.4,6,5,7,5,4,44.0,63.4,51.0,42.8,45.0,51.6,Yellow
S044,24,MBA,4,9.02,91.5,98.6,1,7.9,9,10,2,9,10,90.2,92.1,92.6,92.0,95.0,92.9,Green
S045,18,B.Sc,1,8.77,93.7,92.3,2,7.1,10,8,2,8,10,93.3,89.8,90.6,82.7,90.0,88.6,Green
S046,21,B.Sc,7,7.58,77.1,89.4,6,6.3,7,8,5,8,7,65.4,78.8,63.6,68.1,75.0,71.9,Blue
S047,22,BCA,8,7.16,76.0,79.5,6,6.2,6,6,4,6,5,70.5,74.1,59.2,62.1,55.0,63.2,Blue
S048,18,B.Tech,1,8.07,81.9,70.9,6,7.9,7,6,4,6,7,61.6,79.0,69.6,60.3,65.0,69.4,Blue
S049,22,B.Sc,8,4.09,17.5,23.3,10,4.9,2,2,8,3,1,5.5,32.7,26.4,17.1,20.0,24.8,Red
S050,26,MBA,8,7.75,83.2,83.7,4,6.3,6,8,5,5,5,65.9,79.9,65.6,68.2,50.0,66.5,Blue
S051,20,BCA,5,5.38,67.1,54.2,8,5.8,6,5,7,3,3,51.2,56.5,51.8,44.2,30.0,46.2,Yellow
S052,21,B.Tech,6,8.01,84.7,89.2,6,6.4,6,6,5,7,5,60.0,82.8,60.0,57.0,60.0,66.2,Blue
S053,21,B.Sc,7,2.78,10.6,3.4,10,4.3,4,3,9,1,2,10.6,19.5,32.1,20.1,15.0,21.6,Red
S054,22,B.Sc,8,8.98,94.9,95.3,3,8.0,10,10,1,8,9,91.8,91.9,91.0,95.4,85.0,90.6,Green
S055,20,B.Sc,4,5.04,73.1,60.4,8,6.1,4,4,8,5,4,46.8,56.9,44.9,35.4,45.0,46.6,Yellow
S056,23,MBA,3,7.71,76.7,73.3,3,7.2,7,7,5,6,5,69.1,76.3,76.0,63.8,55.0,68.4,Blue
S057,23,MBA,2,4.99,67.5,57.3,9,5.3,6,5,7,6,5,41.3,54.9,46.9,42.3,55.0,50.4,Yellow
S058,21,B.Tech,7,9.13,93.9,93.4,2,8.8,8,9,2,8,10,97.7,92.2,86.0,88.5,90.0,89.4,Green
S059,18,B.Tech,1,6.77,65.8,63.6,7,5.8,6,3,8,6,4,51.6,66.5,54.8,31.3,50.0,52.4,Yellow
S060,26,MBA,8,3.25,12.7,4.7,9,3.5,4,2,10,3,2,9.4,23.0,32.1,11.9,25.0,23.6,Red
S061,20,B.Tech,4,8.28,77.8,88.3,3,6.7,8,6,4,5,7,76.0,82.9,78.1,63.2,60.0,72.0,Blue
S062,24,MBA,4,4.87,54.6,0.3,7,3.1,1,3,8,3,2,16.9,40.2,24.6,24.4,25.0,29.3,Red
S063,20,B.Sc,4,7.13,85.7,78.2,6,7.2,6,8,5,5,5,83.5,75.6,63.0,71.7,50.0,65.3,Blue
S064,19,BCA,3,9.18,90.4,93.6,2,8.2,8,9,2,8,10,91.8,91.9,86.0,87.4,90.0,89.0,Green
S065,19,B.Tech,2,5.05,48.6,12.6,9,4.2,4,1,10,2,2,26.5,42.5,34.8,10.3,20.0,28.5,Red
S066,22,B.Tech,8,5.16,69.2,61.6,9,6.1,5,5,8,4,3,45.1,57.1,45.9,40.0,35.0,45.4,Yellow
S067,23,MBA,3,7.81,87.3,79.3,4,6.5,8,7,4,6,6,74.4,80.2,74.4,67.9,60.0,71.2,Blue
S068,24,MBA,5,5.18,74.4,55.9,9,6.4,6,5,7,5,4,47.9,57.1,51.0,43.6,45.0,49.8,Yellow
S069,20,BCA,5,7.61,89.6,85.2,4,6.7,7,7,4,8,6,75.7,80.6,71.1,68.1,70.0,73.1,Blue
S070,19,B.Sc,3,6.48,61.7,61.3,9,6.4,6,4,6,5,3,41.4,63.5,51.0,40.3,40.0,49.9,Yellow
S071,22,B.Tech,8,4.15,20.5,34.1,10,3.4,1,2,10,3,2,2.9,35.8,16.8,10.6,25.0,23.3,Red
S072,20,BCA,4,6.51,61.5,65.1,9,6.8,4,3,6,4,3,41.0,64.4,44.5,35.2,35.0,46.2,Yellow
S073,21,BCA,6,7.04,69.2,55.7,6,5.2,4,3,7,4,5,43.1,67.2,47.5,32.6,45.0,49.8,Yellow
S074,22,MBA,1,4.41,35.3,20.5,9,3.2,1,2,8,2,3,6.6,37.6,19.0,17.3,25.0,25.7,Red
S075,22,B.Sc,8,7.28,82.6,72.6,6,7.7,6,6,6,7,6,82.5,74.7,64.9,58.5,65.0,66.6,Blue
S076,24,MBA,5,8.04,83.8,78.7,3,7.3,8,7,6,5,5,75.2,80.7,80.4,62.0,50.0,69.2,Blue
S077,22,MBA,1,4.75,40.0,23.3,10,4.5,1,2,9,2,2,25.7,41.2,20.9,18.1,20.0,26.2,Red
S078,26,MBA,8,8.69,92.2,96.5,3,8.6,10,8,1,9,10,85.7,89.9,91.0,84.1,95.0,90.3,Green
S079,18,B.Tech,1,7.19,81.9,84.5,4,6.8,7,8,4,6,5,84.7,76.4,71.5,74.9,55.0,69.5,Blue
S080,19,B.Sc,2,6.25,67.3,68.1,7,5.7,6,3,6,5,3,41.5,64.6,54.4,35.3,40.0,50.0,Yellow
S081,20,B.Sc,4,9.55,96.9,95.2,1,9.0,8,9,2,8,8,88.1,95.7,89.0,86.6,80.0,88.3,Green
S082,20,B.Sc,4,6.07,70.6,69.1,7,6.7,4,3,8,5,4,42.9,64.4,50.1,29.6,45.0,49.0,Yellow
S083,19,BCA,3,8.53,97.5,91.7,4,7.8,10,9,1,10,10,90.2,89.0,87.2,90.0,100.0,91.5,Green
S084,23,MBA,2,8.91,98.1,95.1,3,8.2,10,8,2,9,9,89.2,92.1,91.0,81.8,90.0,89.2,Green
S085,20,B.Sc,4,9.49,90.2,94.5,4,7.3,10,8,3,10,8,99.1,93.9,85.4,80.8,90.0,88.2,Green
S086,25,MBA,6,9.06,93.4,94.6,3,7.7,10,9,1,10,8,95.9,92.0,89.9,91.2,90.0,90.8,Green
S087,20,B.Sc,5,4.55,49.6,7.5,7,4.6,2,3,9,3,3,27.9,38.7,34.2,23.6,30.0,32.4,Red
S088,20,B.Sc,4,2.49,37.4,17.3,10,4.2,3,1,8,1,2,27.9,25.9,27.8,16.6,15.0,21.8,Red
S089,21,BCA,6,9.56,90.2,99.3,3,7.9,10,10,3,10,8,89.6,95.3,90.6,88.9,90.0,91.5,Green
S090,21,B.Tech,7,6.59,68.0,59.8,8,6.8,4,4,7,3,5,53.6,65.1,47.5,39.7,40.0,49.3,Yellow
S091,22,MBA,1,9.18,98.5,90.2,3,7.9,9,10,3,9,9,92.6,92.8,86.6,89.5,90.0,89.9,Green
S092,21,B.Tech,6,7.98,75.1,84.1,5,7.7,8,7,3,6,7,80.0,79.7,75.9,72.0,65.0,73.5,Blue
S093,19,B.Sc,2,5.13,18.9,1.7,10,4.4,2,3,8,2,1,13.6,34.9,24.5,23.7,15.0,25.1,Red
S094,20,B.Tech,5,5.12,72.4,60.4,8,5.6,6,4,6,3,3,48.0,57.3,51.0,41.6,30.0,45.8,Yellow
S095,18,BCA,1,7.03,69.9,66.5,9,5.6,4,5,5,3,3,49.5,69.5,40.0,49.9,30.0,48.3,Yellow
S096,21,BCA,6,5.45,66.6,51.7,9,5.1,5,3,7,6,4,47.6,56.4,42.1,33.5,50.0,46.6,Yellow
S097,19,B.Sc,2,8.51,97.7,91.9,4,8.4,8,8,1,10,8,93.4,89.0,80.0,85.7,90.0,86.3,Green
S098,19,BCA,3,4.58,33.1,9.2,7,3.4,4,2,8,1,1,1.6,35.9,37.8,16.3,10.0,26.0,Red
S099,20,B.Tech,5,4.67,58.9,11.9,7,4.2,1,3,8,2,1,8.2,42.2,28.8,22.6,15.0,28.1,Red
S100,18,B.Tech,1,7.76,88.9,76.2,4,6.1,7,7,6,6,5,78.8,79.6,68.9,62.8,55.0,67.4,Blue
S101,21,B.Sc,7,5.13,70.4,64.1,7,5.0,5,4,5,5,4,50.5,57.7,47.8,45.1,45.0,49.5,Yellow
S102,21,B.Sc,7,9.35,94.0,98.6,4,7.6,8,10,1,9,8,90.0,94.6,78.5,95.0,85.0,88.3,Green
S103,20,B.Sc,5,4.36,45.7,14.4,7,4.9,1,3,8,1,1,28.5,38.2,31.4,26.7,10.0,27.2,Red
S104,18,B.Sc,1,5.74,62.1,59.1,7,7.0,5,4,6,6,3,47.2,58.7,55.2,41.4,45.0,50.9,Yellow
S105,26,MBA,8,8.09,84.8,89.5,6,8.0,7,7,6,7,6,65.3,83.4,70.0,60.1,65.0,70.8,Blue
S106,25,MBA,7,9.35,97.6,97.3,2,7.1,8,10,3,10,10,94.0,95.1,82.6,89.8,100.0,92.1,Green
S107,21,B.Tech,6,6.3,61.6,68.5,6,6.7,6,4,8,6,3,49.1,63.8,61.1,35.8,45.0,52.8,Yellow
S108,20,BCA,4,7.88,79.8,74.5,3,7.3,8,8,4,7,6,77.6,78.1,80.4,73.5,65.0,74.5,Blue
S109,20,B.Tech,4,5.74,63.9,59.7,9,5.7,5,3,5,4,5,55.3,59.2,44.4,41.1,45.0,48.3,Yellow
S110,25,MBA,6,8.89,96.8,93.4,2,7.4,8,10,3,10,8,93.7,91.4,83.8,89.7,90.0,88.8,Green
S111,19,B.Tech,2,6.99,60.4,53.7,7,6.8,5,4,8,5,3,50.3,64.8,54.5,36.1,40.0,50.3,Yellow
S112,21,B.Sc,7,8.04,83.8,73.9,6,6.8,6,8,4,6,7,78.7,79.8,61.5,73.7,65.0,70.3,Blue
S113,21,B.Sc,6,4.12,49.3,36.2,7,4.0,2,3,9,2,2,25.7,41.8,32.0,23.1,20.0,30.2,Red
S114,19,BCA,3,6.67,69.1,67.6,7,7.0,5,5,8,3,4,49.2,67.4,55.2,40.8,35.0,50.9,Yellow
S115,26,MBA,8,3.75,51.2,32.7,8,3.7,1,2,10,2,2,6.3,39.3,23.9,11.3,20.0,25.0,Red
S116,26,MBA,8,8.89,92.5,98.3,3,8.4,10,10,2,9,10,90.4,91.5,91.0,92.1,95.0,92.4,Green
S117,22,MBA,1,7.23,81.7,85.8,4,7.0,6,7,6,5,6,78.1,76.9,68.2,62.6,55.0,66.4,Blue
S118,18,BCA,1,9.01,97.8,92.6,1,7.5,9,10,1,10,10,99.4,92.1,91.1,96.9,100.0,94.8,Green
S119,20,B.Sc,5,9.87,98.8,96.8,1,8.2,9,8,3,9,8,99.5,98.3,93.0,80.9,85.0,90.2,Green
S120,19,BCA,2,7.8,76.2,84.4,6,7.4,7,6,4,7,7,79.4,78.9,67.8,63.9,70.0,70.9,Blue
S121,18,B.Tech,1,9.26,95.5,91.0,1,8.1,8,9,2,10,10,89.6,92.9,89.0,86.9,100.0,92.5,Green
S122,19,B.Sc,2,8.95,97.7,98.7,4,8.0,9,9,2,8,8,89.4,93.0,84.0,86.9,80.0,86.3,Green
S123,24,MBA,5,5.83,65.6,69.0,9,6.4,6,5,7,3,4,57.7,61.9,51.0,45.5,35.0,49.2,Yellow
S124,21,BCA,7,6.58,63.8,53.9,8,5.2,5,4,7,6,4,49.0,63.0,45.5,38.8,50.0,50.5,Yellow
S125,22,B.Tech,8,8.57,93.0,92.4,1,7.4,10,10,3,8,8,95.0,88.5,94.8,90.0,80.0,88.2,Green
S126,22,BCA,8,4.43,17.2,26.8,10,4.4,3,1,10,2,3,5.0,35.4,28.5,6.0,25.0,25.2,Red
S127,23,MBA,2,7.85,86.0,84.7,4,7.7,7,6,4,6,5,72.7,81.2,74.9,62.5,55.0,69.3,Blue
S128,20,B.Tech,5,9.79,92.8,97.8,3,7.3,8,9,3,9,10,93.2,96.9,80.4,84.6,95.0,89.8,Green
S129,18,B.Tech,1,2.38,23.9,1.9,9,3.6,4,2,10,2,3,13.1,19.4,32.5,12.6,25.0,22.7,Red
S130,22,MBA,1,6.66,61.4,52.3,9,6.2,5,5,8,6,5,53.4,62.7,46.2,41.7,55.0,52.4,Yellow
S131,19,B.Tech,2,3.84,57.6,27.8,7,3.6,2,3,9,1,3,21.6,40.1,30.5,22.3,20.0,29.1,Red
S132,22,BCA,8,9.29,95.3,92.8,4,7.2,9,8,2,10,8,97.8,93.4,81.0,83.6,90.0,87.5,Green
S133,21,BCA,7,7.4,84.9,83.3,3,6.9,8,7,5,5,7,67.6,78.0,78.9,63.5,60.0,70.8,Blue
S134,21,B.Tech,6,7.21,86.3,77.2,6,7.1,6,7,5,5,5,78.7,76.0,62.6,65.7,50.0,64.1,Blue
S135,22,B.Sc,8,9.49,93.8,98.0,3,9.0,8,8,2,8,8,90.1,95.3,83.0,82.0,80.0,85.7,Green
S136,24,MBA,4,6.96,79.3,71.6,6,7.7,6,7,6,5,6,66.9,71.9,64.9,60.4,55.0,63.6,Blue
S137,20,B.Sc,4,8.65,96.4,92.3,2,8.0,8,8,1,10,10,93.4,89.6,86.0,85.7,100.0,90.5,Green
S138,20,BCA,5,10.0,90.7,94.9,3,7.2,8,10,2,8,10,96.2,97.1,80.0,93.2,90.0,90.3,Green
S139,18,BCA,1,5.84,68.8,57.0,6,6.7,5,5,8,4,5,45.0,60.2,57.1,40.0,45.0,51.6,Yellow
S140,21,B.Tech,6,3.83,39.5,15.3,7,4.7,2,2,8,1,1,16.0,33.9,34.6,19.2,10.0,25.2,Red
S141,19,B.Tech,2,5.09,72.1,61.1,8,5.4,4,5,7,4,4,45.0,57.2,42.2,43.0,40.0,46.3,Yellow
S142,21,B.Tech,6,4.87,73.2,67.1,7,5.6,5,5,8,4,3,54.5,57.3,50.0,41.9,35.0,46.8,Yellow
S143,19,B.Sc,2,9.59,98.4,95.2,1,7.1,8,9,2,8,8,95.8,96.3,85.6,88.2,80.0,87.9,Green
S144,19,BCA,3,3.99,50.6,25.3,8,4.7,4,3,9,2,1,27.3,39.1,39.6,23.5,15.0,30.1,Red
S145,20,B.Sc,5,8.09,87.4,84.8,4,7.2,7,6,4,6,5,77.4,83.0,73.0,63.5,55.0,69.6,Blue
S146,19,B.Tech,3,9.59,93.8,94.7,1,8.3,10,9,3,8,10,93.7,95.2,97.0,84.7,90.0,92.2,Green
S147,19,B.Tech,3,7.89,85.5,72.1,5,6.9,7,6,6,6,5,72.0,78.9,68.9,56.4,55.0,65.9,Blue
S148,18,B.Tech,1,5.9,64.6,60.4,8,6.0,6,5,5,4,3,54.9,60.4,52.5,51.0,35.0,50.2,Yellow
S149,22,BCA,8,8.41,85.9,78.0,5,7.4,6,8,5,7,6,83.9,83.2,66.8,71.8,65.0,72.3,Blue
S150,19,BCA,3,6.44,71.2,60.9,7,5.2,4,5,6,4,5,53.8,65.1,44.5,47.8,45.0,51.5,Yellow
S151,21,B.Sc,6,9.53,91.9,90.1,4,8.4,8,8,3,8,8,86.8,93.6,80.0,78.4,80.0,83.8,Green
S152,24,MBA,5,9.73,99.3,95.7,1,8.9,10,8,1,9,10,95.4,97.4,97.0,86.1,95.0,94.4,Green
S153,20,B.Sc,4,8.95,97.3,99.6,1,7.7,10,9,3,8,9,95.8,93.1,95.9,85.2,85.0,90.2,Green
S154,20,B.Tech,5,6.96,64.8,67.3,9,5.7,4,5,5,4,4,47.6,68.2,40.4,49.5,40.0,50.5,Yellow
S155,22,B.Tech,8,6.35,71.9,64.3,9,6.5,6,3,5,6,5,44.8,65.3,51.4,39.0,55.0,54.0,Yellow
S156,20,BCA,4,3.1,18.3,35.4,8,3.4,1,1,9,3,2,1.5,29.3,22.8,8.3,25.0,22.4,Red
S157,25,MBA,7,9.21,93.1,99.5,3,8.4,8,8,2,8,10,99.3,93.8,83.0,83.9,90.0,88.2,Green
S158,19,BCA,2,7.15,79.2,71.0,4,6.6,8,7,3,8,6,67.5,72.9,74.8,69.5,70.0,72.0,Blue
S159,22,B.Sc,8,7.38,77.8,86.8,5,7.2,7,6,3,6,6,67.7,77.2,70.0,64.5,60.0,68.6,Blue
S160,24,MBA,4,7.83,81.3,80.5,5,7.4,8,7,3,5,6,60.4,79.3,74.8,68.1,55.0,69.9,Blue
S161,22,MBA,1,6.12,74.2,66.4,6,6.5,4,5,6,3,4,51.8,64.8,52.4,47.4,35.0,50.8,Yellow
S162,22,BCA,8,7.91,86.5,83.0,5,7.6,6,6,4,8,7,71.3,81.4,67.5,62.3,75.0,72.5,Blue
S163,21,BCA,6,9.0,98.7,96.4,4,7.9,9,10,1,8,10,97.4,93.0,83.6,96.5,90.0,90.6,Green
S164,26,MBA,8,6.35,64.7,51.7,7,6.8,5,3,6,3,5,42.3,61.4,54.5,35.5,40.0,49.1,Yellow
S165,24,MBA,4,4.93,40.5,15.2,9,3.4,4,1,9,1,3,28.8,40.7,31.8,13.8,20.0,27.9,Red
S166,21,BCA,6,7.85,80.9,79.2,4,6.9,8,7,6,8,7,83.7,79.1,75.9,63.7,75.0,74.2,Blue
S167,25,MBA,7,4.23,55.4,29.6,7,5.0,4,2,10,3,3,6.0,42.4,43.8,11.2,30.0,33.4,Red
S168,25,MBA,7,8.72,93.9,93.3,3,8.3,9,8,2,8,9,99.4,89.8,87.0,83.9,85.0,86.7,Green
S169,24,MBA,4,8.06,87.8,72.1,6,6.2,6,7,4,5,7,71.9,80.3,59.2,67.4,60.0,67.4,Blue
S170,18,BCA,1,8.43,91.1,94.5,3,8.9,10,9,3,9,9,94.4,87.7,91.0,84.9,90.0,88.5,Green
S171,24,MBA,5,6.51,62.5,56.3,6,5.6,5,5,7,6,5,40.8,62.8,53.0,42.2,55.0,54.3,Yellow
S172,22,MBA,1,5.98,60.2,59.6,8,5.0,6,5,5,3,5,58.5,59.8,48.8,51.7,40.0,50.5,Yellow
S173,19,B.Sc,3,9.28,93.7,96.9,3,7.7,10,9,3,9,8,92.8,93.8,89.9,84.6,85.0,88.8,Green
S174,21,BCA,6,3.28,23.1,18.5,9,3.5,2,1,10,2,3,13.5,28.0,24.1,7.7,25.0,22.2,Red
S175,23,MBA,3,8.18,81.7,71.4,5,7.0,7,7,3,6,5,79.9,79.7,69.2,72.0,55.0,69.4,Blue
S176,21,BCA,6,4.16,34.7,10.0,7,3.5,1,2,9,3,1,12.5,33.9,26.1,15.5,20.0,24.8,Red
S177,19,B.Tech,2,8.33,81.8,70.9,4,7.3,8,8,3,6,7,78.5,80.5,77.4,76.7,65.0,75.1,Blue
S178,20,BCA,5,5.37,71.6,61.1,7,5.3,4,4,5,6,3,59.8,58.8,44.9,47.0,45.0,49.5,Yellow
S179,20,BCA,5,5.81,68.1,64.4,7,6.3,4,5,8,4,4,59.4,61.4,48.6,42.9,40.0,49.2,Yellow
S180,25,MBA,6,7.54,80.1,82.3,4,6.2,7,6,4,6,6,64.5,77.7,69.2,60.9,60.0,67.8,Blue
S181,18,B.Sc,1,4.19,13.2,26.0,8,3.7,3,1,9,1,2,6.9,33.0,31.9,9.4,15.0,23.5,Red
S182,24,MBA,4,4.15,45.2,11.3,10,3.0,1,2,8,1,3,11.1,36.2,15.2,18.2,20.0,23.3,Red
S183,21,B.Tech,6,8.04,82.1,80.1,4,6.8,6,7,4,7,6,72.2,80.7,67.5,67.4,65.0,70.8,Blue
S184,24,MBA,5,8.75,100.0,99.0,2,7.9,8,9,2,8,9,91.7,92.3,85.6,87.3,85.0,87.8,Green
S185,22,BCA,8,7.41,86.2,71.6,6,7.3,6,6,6,5,5,60.6,76.0,63.4,54.1,50.0,62.0,Blue
S186,23,MBA,2,9.65,99.6,96.0,1,7.4,8,8,3,10,8,91.0,97.0,86.8,79.2,90.0,89.1,Green
S187,21,B.Sc,7,3.58,33.7,17.6,8,4.1,1,3,8,3,2,23.5,31.7,25.4,25.7,25.0,27.2,Red
S188,22,MBA,1,3.65,16.4,1.1,8,4.2,3,1,9,1,3,23.3,25.4,33.8,12.7,20.0,23.6,Red
S189,20,B.Tech,5,8.25,85.4,85.5,5,7.6,6,8,4,5,6,78.6,83.7,67.5,73.7,55.0,70.5,Blue
S190,26,MBA,8,8.63,91.0,90.3,4,7.2,8,9,1,8,9,89.2,88.0,77.0,89.8,85.0,84.9,Green
S191,20,B.Sc,4,9.08,96.6,97.7,4,7.9,8,10,2,10,8,85.9,93.3,79.6,91.2,90.0,88.6,Green
S192,20,B.Tech,4,9.71,96.2,95.8,2,7.6,8,8,3,9,8,89.0,96.7,84.5,78.8,85.0,87.1,Green
S193,18,BCA,1,9.3,95.3,93.0,3,9.0,8,10,3,8,9,91.6,93.5,83.0,89.3,85.0,87.9,Green
S194,21,BCA,6,4.81,50.5,33.4,9,4.0,3,1,8,1,1,4.4,45.6,30.0,11.9,10.0,26.1,Red
S195,19,B.Tech,2,7.69,77.4,90.0,5,7.0,6,6,6,8,7,69.6,79.6,65.2,55.9,75.0,70.1,Blue
S196,18,BCA,1,8.84,93.4,95.8,4,7.7,8,9,2,8,9,89.5,90.9,78.9,86.9,85.0,85.6,Green
S197,20,B.Tech,5,3.99,43.7,12.2,8,3.8,4,1,8,1,1,3.6,35.1,36.2,11.7,10.0,24.4,Red
S198,20,B.Tech,4,4.87,42.0,19.9,8,4.2,1,1,9,3,2,26.7,41.6,25.8,13.3,25.0,27.8,Red
S199,21,B.Tech,6,8.27,80.9,72.9,5,7.8,7,6,3,5,5,62.8,80.4,72.2,63.6,50.0,67.4,Blue
S200,20,B.Sc,4,8.12,78.6,74.7,5,6.9,8,6,6,5,6,64.3,79.4,72.9,54.9,55.0,66.8,Blue
S201,18,B.Tech,1,4.16,53.3,34.0,8,3.3,2,2,8,3,1,7.9,42.4,26.4,17.6,20.0,27.8,Red
S202,19,B.Tech,2,6.35,69.8,58.4,8,6.2,5,5,6,3,3,47.6,63.7,49.2,46.5,30.0,48.2,Yellow
S203,18,B.Tech,1,6.06,64.2,64.1,7,5.2,5,3,7,6,5,52.4,62.0,48.5,34.5,55.0,51.4,Yellow
